suburb,state,postcode,category,details,url
AARONS PASS,NSW,2850,Delivery Area,,https://auspost.com.au/postcode/aarons-pass
ABBA RIVER,WA,6280,Delivery Area,,https://auspost.com.au/postcode/abba-river
ABBEY,WA,6280,Delivery Area,,https://auspost.com.au/postcode/abbey
ABBEYARD,VIC,3737,Delivery Area,,https://auspost.com.au/postcode/abbey
ABBEYWOOD,QLD,4613,Delivery Area,,https://auspost.com.au/postcode/abbey
ABBEYARD,VIC,3737,Delivery Area,,https://auspost.com.au/postcode/abbeyard
ABBEYWOOD,QLD,4613,Delivery Area,,https://auspost.com.au/postcode/abbeywood
ABBOTSBURY,NSW,2176,Delivery Area,,https://auspost.com.au/postcode/abbotsbury
ABBOTSFORD,NSW,2046,Delivery Area,,https://auspost.com.au/postcode/abbotsford
ABBOTSFORD,VIC,3067,Delivery Area,,https://auspost.com.au/postcode/abbotsford
ABBOTSFORD,QLD,4670,Delivery Area,,https://auspost.com.au/postcode/abbotsford
ABBOTSHAM,TAS,7315,Delivery Area,,https://auspost.com.au/postcode/abbotsham
ABECKETT STREET,VIC,8006,Post Office Boxes,PO BOXES,https://auspost.com.au/postcode/abeckett-street
ABELS BAY,TAS,7112,Delivery Area,,https://auspost.com.au/postcode/abels-bay
ABERCORN,QLD,4627,Delivery Area,,https://auspost.com.au/postcode/abercorn
ABERCROMBIE,NSW,2795,Delivery Area,,https://auspost.com.au/postcode/abercrombie
ABERCROMBIE RIVER,NSW,2795,Delivery Area,,https://auspost.com.au/postcode/abercrombie
ABERCROMBIE RIVER,NSW,2795,Delivery Area,,https://auspost.com.au/postcode/abercrombie-river
ABERDARE,NSW,2325,Delivery Area,,https://auspost.com.au/postcode/aberdare
ABERDEEN,NSW,2336,Delivery Area,UPPER HUNTER SHIRE COUNCIL,https://auspost.com.au/postcode/aberdeen
ABERDEEN,TAS,7310,Delivery Area,,https://auspost.com.au/postcode/aberdeen
ABERFELDIE,VIC,3040,Delivery Area,,https://auspost.com.au/postcode/aberfeldie
ABERFELDY,VIC,3825,Delivery Area,,https://auspost.com.au/postcode/aberfeldy
ABERFOYLE,NSW,2350,Delivery Area,,https://auspost.com.au/postcode/aberfoyle
ABERFOYLE PARK,SA,5159,Delivery Area,,https://auspost.com.au/postcode/aberfoyle
ABERFOYLE PARK,SA,5159,Delivery Area,,https://auspost.com.au/postcode/aberfoyle-park
ABERGLASSLYN,NSW,2320,Delivery Area,,https://auspost.com.au/postcode/aberglasslyn
ABERGOWRIE,QLD,4850,Delivery Area,,https://auspost.com.au/postcode/abergowrie
ABERMAIN,NSW,2326,Delivery Area,,https://auspost.com.au/postcode/abermain
ABERNETHY,NSW,2325,Delivery Area,,https://auspost.com.au/postcode/abernethy
ABINGDON DOWNS,QLD,4892,Delivery Area,,https://auspost.com.au/postcode/abingdon-downs
ABINGTON,NSW,2350,Delivery Area,,https://auspost.com.au/postcode/abington
ABINGTON,QLD,4660,Delivery Area,,https://auspost.com.au/postcode/abington
ABMINGA STATION,SA,5440,Delivery Area,,https://auspost.com.au/postcode/abminga-station
ACACIA CREEK,NSW,2476,Delivery Area,,https://auspost.com.au/postcode/acacia-creek
LOWER ACACIA CREEK,NSW,2476,Delivery Area,,https://auspost.com.au/postcode/acacia-creek
ACACIA GARDENS,NSW,2763,Delivery Area,,https://auspost.com.au/postcode/acacia-gardens
ACACIA HILLS,NT,0822,Delivery Area,,https://auspost.com.au/postcode/acacia-hills
ACACIA HILLS,TAS,7306,Delivery Area,,https://auspost.com.au/postcode/acacia-hills
ACACIA RIDGE,QLD,4110,Delivery Area,,https://auspost.com.au/postcode/acacia-ridge
ACHERON,VIC,3714,Delivery Area,,https://auspost.com.au/postcode/acheron
ACLAND,QLD,4401,Delivery Area,,https://auspost.com.au/postcode/acland
ACTON,ACT,2601,Delivery Area,,https://auspost.com.au/postcode/acton
ACTON,TAS,7320,Delivery Area,BURNIE,https://auspost.com.au/postcode/acton
ACTON PARK,WA,6280,Delivery Area,,https://auspost.com.au/postcode/acton
ACTON PARK,TAS,7170,Delivery Area,,https://auspost.com.au/postcode/acton
ACTON PARK,WA,6280,Delivery Area,,https://auspost.com.au/postcode/acton-park
ACTON PARK,TAS,7170,Delivery Area,,https://auspost.com.au/postcode/acton-park
ADA,VIC,3833,Delivery Area,,https://auspost.com.au/postcode/ada
ADAMINABY,NSW,2629,Delivery Area,,https://auspost.com.au/postcode/ada
ADAMS ESTATE,VIC,3984,Delivery Area,,https://auspost.com.au/postcode/ada
ADAMSTOWN,NSW,2289,Delivery Area,,https://auspost.com.au/postcode/ada
ADAMSTOWN HEIGHTS,NSW,2289,Delivery Area,,https://auspost.com.au/postcode/ada
ADAMSVALE,WA,6375,Delivery Area,,https://auspost.com.au/postcode/ada
ADARE,QLD,4343,Delivery Area,,https://auspost.com.au/postcode/ada
ADAVALE,QLD,4474,Delivery Area,,https://auspost.com.au/postcode/ada
MOUNT ADAMS,WA,6525,Delivery Area,,https://auspost.com.au/postcode/ada
OLD ADAMINABY,NSW,2629,Delivery Area,,https://auspost.com.au/postcode/ada
ADAMINABY,NSW,2629,Delivery Area,,https://auspost.com.au/postcode/adaminaby
OLD ADAMINABY,NSW,2629,Delivery Area,,https://auspost.com.au/postcode/adaminaby
