suburb,state,postcode,details,suburb_hyphen,link
aarons pass,nsw,2850,,aarons-pass,https://www.realestate.com.au/nsw/aarons-pass-2850/
abba river,wa,6280,,abba-river,https://www.realestate.com.au/wa/abba-river-6280/
abbey,wa,6280,,abbey,https://www.realestate.com.au/wa/abbey-6280/
abbeyard,vic,3737,,abbeyard,https://www.realestate.com.au/vic/abbeyard-3737/
abbeywood,qld,4613,,abbeywood,https://www.realestate.com.au/qld/abbeywood-4613/
abbotsbury,nsw,2176,,abbotsbury,https://www.realestate.com.au/nsw/abbotsbury-2176/
abbotsford,nsw,2046,,abbotsford,https://www.realestate.com.au/nsw/abbotsford-2046/
abbotsford,vic,3067,,abbotsford,https://www.realestate.com.au/vic/abbotsford-3067/
abbotsford,qld,4670,,abbotsford,https://www.realestate.com.au/qld/abbotsford-4670/
abbotsham,tas,7315,,abbotsham,https://www.realestate.com.au/tas/abbotsham-7315/
abels bay,tas,7112,,abels-bay,https://www.realestate.com.au/tas/abels-bay-7112/
abercorn,qld,4627,,abercorn,https://www.realestate.com.au/qld/abercorn-4627/
abercrombie,nsw,2795,,abercrombie,https://www.realestate.com.au/nsw/abercrombie-2795/
abercrombie river,nsw,2795,,abercrombie-river,https://www.realestate.com.au/nsw/abercrombie-river-2795/
aberdare,nsw,2325,,aberdare,https://www.realestate.com.au/nsw/aberdare-2325/
aberdeen,nsw,2336,upper hunter shire council,aberdeen,https://www.realestate.com.au/nsw/aberdeen-2336/
aberdeen,tas,7310,,aberdeen,https://www.realestate.com.au/tas/aberdeen-7310/
aberfeldie,vic,3040,,aberfeldie,https://www.realestate.com.au/vic/aberfeldie-3040/
aberfeldy,vic,3825,,aberfeldy,https://www.realestate.com.au/vic/aberfeldy-3825/
aberfoyle,nsw,2350,,aberfoyle,https://www.realestate.com.au/nsw/aberfoyle-2350/
aberfoyle park,sa,5159,,aberfoyle-park,https://www.realestate.com.au/sa/aberfoyle-park-5159/
aberglasslyn,nsw,2320,,aberglasslyn,https://www.realestate.com.au/nsw/aberglasslyn-2320/
abergowrie,qld,4850,,abergowrie,https://www.realestate.com.au/qld/abergowrie-4850/
abermain,nsw,2326,,abermain,https://www.realestate.com.au/nsw/abermain-2326/
abernethy,nsw,2325,,abernethy,https://www.realestate.com.au/nsw/abernethy-2325/
abingdon downs,qld,4892,,abingdon-downs,https://www.realestate.com.au/qld/abingdon-downs-4892/
abington,nsw,2350,,abington,https://www.realestate.com.au/nsw/abington-2350/
abington,qld,4660,,abington,https://www.realestate.com.au/qld/abington-4660/
abminga station,sa,5440,,abminga-station,https://www.realestate.com.au/sa/abminga-station-5440/
acacia creek,nsw,2476,,acacia-creek,https://www.realestate.com.au/nsw/acacia-creek-2476/
lower acacia creek,nsw,2476,,lower-acacia-creek,https://www.realestate.com.au/nsw/lower-acacia-creek-2476/
acacia gardens,nsw,2763,,acacia-gardens,https://www.realestate.com.au/nsw/acacia-gardens-2763/
acacia hills,nt,0822,,acacia-hills,https://www.realestate.com.au/nt/acacia-hills-0822/
acacia hills,tas,7306,,acacia-hills,https://www.realestate.com.au/tas/acacia-hills-7306/
acacia ridge,qld,4110,,acacia-ridge,https://www.realestate.com.au/qld/acacia-ridge-4110/
acheron,vic,3714,,acheron,https://www.realestate.com.au/vic/acheron-3714/
acland,qld,4401,,acland,https://www.realestate.com.au/qld/acland-4401/
acton,act,2601,,acton,https://www.realestate.com.au/act/acton-2601/
acton,tas,7320,burnie,acton,https://www.realestate.com.au/tas/acton-7320/
