href,suburb
https://auspost.com.au/postcode/aarons-pass,Aarons Pass
https://auspost.com.au/postcode/abba-river,Abba River
https://auspost.com.au/postcode/abbey,Abbey
https://auspost.com.au/postcode/abbeyard,Abbeyard
https://auspost.com.au/postcode/abbeywood,Abbeywood
https://auspost.com.au/postcode/abbotsbury,Abbotsbury
https://auspost.com.au/postcode/abbotsford,Abbotsford
https://auspost.com.au/postcode/abbotsham,Abbotsham
https://auspost.com.au/postcode/abeckett-street,Abeckett Street
https://auspost.com.au/postcode/abels-bay,Abels Bay
https://auspost.com.au/postcode/abercorn,Abercorn
https://auspost.com.au/postcode/abercrombie,Abercrombie
https://auspost.com.au/postcode/abercrombie-river,Abercrombie River
https://auspost.com.au/postcode/aberdare,Aberdare
https://auspost.com.au/postcode/aberdeen,Aberdeen
https://auspost.com.au/postcode/aberfeldie,Aberfeldie
https://auspost.com.au/postcode/aberfeldy,Aberfeldy
https://auspost.com.au/postcode/aberfoyle,Aberfoyle
https://auspost.com.au/postcode/aberfoyle-park,Aberfoyle Park
https://auspost.com.au/postcode/aberglasslyn,Aberglasslyn
https://auspost.com.au/postcode/abergowrie,Abergowrie
https://auspost.com.au/postcode/abermain,Abermain
https://auspost.com.au/postcode/abernethy,Abernethy
https://auspost.com.au/postcode/abingdon-downs,Abingdon Downs
https://auspost.com.au/postcode/abington,Abington
https://auspost.com.au/postcode/abminga-station,Abminga Station
https://auspost.com.au/postcode/acacia-creek,Acacia Creek
https://auspost.com.au/postcode/acacia-gardens,Acacia Gardens
https://auspost.com.au/postcode/acacia-hills,Acacia Hills
https://auspost.com.au/postcode/acacia-ridge,Acacia Ridge
https://auspost.com.au/postcode/acheron,Acheron
https://auspost.com.au/postcode/acland,Acland
https://auspost.com.au/postcode/acton,Acton
https://auspost.com.au/postcode/acton-park,Acton Park
https://auspost.com.au/postcode/ada,Ada
https://auspost.com.au/postcode/adaminaby,Adaminaby
https://auspost.com.au/postcode/adams-estate,Adams Estate
https://auspost.com.au/postcode/adamstown,Adamstown
https://auspost.com.au/postcode/adamstown-heights,Adamstown Heights
https://auspost.com.au/postcode/adamsvale,Adamsvale
https://auspost.com.au/postcode/adare,Adare
https://auspost.com.au/postcode/adavale,Adavale
https://auspost.com.au/postcode/addington,Addington
https://auspost.com.au/postcode/adelaide,Adelaide
https://auspost.com.au/postcode/adelaide-airport,Adelaide Airport
https://auspost.com.au/postcode/adelaide-bc,Adelaide Bc
https://auspost.com.au/postcode/adelaide-lead,Adelaide Lead
https://auspost.com.au/postcode/adelaide-park,Adelaide Park
https://auspost.com.au/postcode/adelaide-river,Adelaide River
https://auspost.com.au/postcode/adelong,Adelong
https://auspost.com.au/postcode/adjungbilly,Adjungbilly
https://auspost.com.au/postcode/advancetown,Advancetown
https://auspost.com.au/postcode/adventure-bay,Adventure Bay
https://auspost.com.au/postcode/aeroglen,Aeroglen
https://auspost.com.au/postcode/afterlee,Afterlee
https://auspost.com.au/postcode/agery,Agery
https://auspost.com.au/postcode/agnes,Agnes
https://auspost.com.au/postcode/agnes-banks,Agnes Banks
https://auspost.com.au/postcode/agnes-water,Agnes Water
https://auspost.com.au/postcode/ainslie,Ainslie
https://auspost.com.au/postcode/aintree,Aintree
https://auspost.com.au/postcode/airdmillan,Airdmillan
